Level | File                                    | Message
====================================================================================================
Msg   | src/boomerang/util/log/Log.cpp          | This is Boomerang v0.3.99-alpha-1914-ged7a3e1
Msg   | src/boomerang/util/log/Log.cpp          | Log initialized.
Msg   | src/boomerang/core/Project.cpp          | Loading plugins...
Msg   | src/boomerang/core/Project.cpp          | Loaded plugins:
Msg   | src/boomerang/core/Project.cpp          |   DOS4GW loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   ELF32 loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   DOS Exe loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   HP SOM loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   Mach-O executable loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   Palm OS executable loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   Win32 PE loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          | Loading binary file 'from_boomerang/minmax2/ppc_elf_by_boomerang/subject.exe'
Warn  | src/boomerang-loaders/elf/ElfBinaryLoad | Not adding 0 sized section '.sdata2'
Warn  | src/boomerang-loaders/elf/ElfBinaryLoad | Not adding 0 sized section '.sdata'
Warn  | src/boomerang-loaders/elf/ElfBinaryLoad | Not adding 0 sized section '.sbss'
Warn  | src/boomerang-loaders/elf/ElfBinaryLoad | Unhandled relocation!
Warn  | src/boomerang-loaders/elf/ElfBinaryLoad | Unhandled relocation!
Warn  | src/boomerang/db/binary/BinaryImage.cpp | TextDelta different for section .got (ignoring).
Msg   | src/boomerang/ssl/RTLInstDict.cpp       | Loading machine specifications from 'BOOMERANGSRCDIR/build/out/share/boomerang/ssl/ppc.ssl'...
Msg   | src/boomerang/db/Prog.cpp               | Reading library signatures...
Msg   | src/boomerang/core/Project.cpp          | Decoding entry point...
Msg   | src/boomerang/frontend/DefaultFrontEnd. | Starting decode at address 0x1000048c
Msg   | src/boomerang/core/Project.cpp          | Decoding anything undecoded...
Msg   | src/boomerang/frontend/DefaultFrontEnd. | Looking for undecoded procedures to decode...
Msg   | src/boomerang/core/Project.cpp          | Found 2 procs
Msg   | src/boomerang-cli/CommandlineDriver.cpp | Decompiling...
Msg   | src/boomerang/decomp/ProgDecompiler.cpp | Decompiling entry point 'main'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Visiting procedure 'main'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Visiting procedure 'test'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Decompiling procedure 'test'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Finished decompile of 'test'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Decompiling procedure 'main'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Finished decompile of 'main'
Msg   | src/boomerang/decomp/ProgDecompiler.cpp | Performing global type analysis...
Msg   | src/boomerang/decomp/ProgDecompiler.cpp | Removing unused returns...
Msg   | src/boomerang/decomp/ProgDecompiler.cpp | Removing unused returns...
Msg   | src/boomerang/decomp/ProgDecompiler.cpp | Performing global type analysis...
Msg   | src/boomerang/decomp/ProgDecompiler.cpp | Transforming from SSA form...
Error | src/boomerang/visitor/expmodifier/ExpSS | Could not find local or parameter for r0{2}!!
Error | src/boomerang/visitor/expmodifier/ExpSS | Could not find local or parameter for r4{2}!!
Error | src/boomerang/visitor/expmodifier/ExpSS | Could not find local or parameter for r5{2}!!
Error | src/boomerang/visitor/expmodifier/ExpSS | Could not find local or parameter for r6{2}!!
Error | src/boomerang/visitor/expmodifier/ExpSS | Could not find local or parameter for r7{2}!!
Error | src/boomerang/visitor/expmodifier/ExpSS | Could not find local or parameter for r8{2}!!
