Level | File                                    | Line | Message
====================================================================================================
Msg   | src/boomerang/util/log/Log.cpp          |  150 | This is Boomerang v0.3.99-alpha-1757-gd6a5867
Msg   | src/boomerang/util/log/Log.cpp          |  151 | Log initialized.
Msg   | src/boomerang/core/Project.cpp          |  321 | Loading plugins...
Msg   | src/boomerang/core/Project.cpp          |  350 | Loaded plugins:
Msg   | src/boomerang/core/Project.cpp          |  353 |   DOS4GW loader plugin v0.3.99-alpha-1757-gd6a5867 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |  353 |   ELF32 loader plugin v0.3.99-alpha-1757-gd6a5867 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |  353 |   DOS Exe loader plugin v0.3.99-alpha-1757-gd6a5867 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |  353 |   HP SOM loader plugin v0.3.99-alpha-1757-gd6a5867 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |  353 |   Mach-O executable loader plugin v0.3.99-alpha-1757-gd6a5867 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |  353 |   Palm OS executable loader plugin v0.3.99-alpha-1757-gd6a5867 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |  353 |   Win32 PE loader plugin v0.3.99-alpha-1757-gd6a5867 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   98 | Loading binary file 'from_snowman/other-065_add_minus_one/ia32_elf/subject.exe'
Warn  | src/boomerang-loaders/elf/ElfBinaryLoad |  521 | Skipping symbol _start with unknown location
Msg   | src/boomerang/core/Project.cpp          |  292 | Decoding entry point...
Warn  | src/boomerang/db/binary/BinaryImage.cpp |   44 | Invalid read at address 0x0804809e: Address is not mapped to a section
Error | src/boomerang/frontend/DefaultFrontEnd. |  777 | Attempted to decode outside any known section at address 0x0804809e
Warn  | src/boomerang/frontend/pentium/PentiumF |  505 | main function not found, falling back to entry point
Msg   | src/boomerang/frontend/DefaultFrontEnd. |  133 | Starting decode at address 0x08048098
Warn  | src/boomerang/db/binary/BinaryImage.cpp |   44 | Invalid read at address 0x0804809e: Address is not mapped to a section
Error | src/boomerang/frontend/DefaultFrontEnd. |  777 | Attempted to decode outside any known section at address 0x0804809e
Warn  | src/boomerang/db/binary/BinaryImage.cpp |   44 | Invalid read at address 0x080480a1: Address is not mapped to a section
Warn  | src/boomerang/db/binary/BinaryImage.cpp |   44 | Invalid read at address 0x080480a0: Address is not mapped to a section
Warn  | src/boomerang/db/binary/BinaryImage.cpp |   44 | Invalid read at address 0x0804809f: Address is not mapped to a section
Warn  | src/boomerang/db/binary/BinaryImage.cpp |   44 | Invalid read at address 0x0804809e: Address is not mapped to a section
Warn  | src/boomerang/frontend/DefaultFrontEnd. |  257 | Encountered invalid or unrecognized instruction at address 0x0804809e: 0xFF 0xFF 0xFF 0xFF
Warn  | src/boomerang/db/binary/BinaryImage.cpp |   44 | Invalid read at address 0x0804809e: Address is not mapped to a section
Error | src/boomerang/frontend/DefaultFrontEnd. |  777 | Attempted to decode outside any known section at address 0x0804809e
Warn  | src/boomerang/frontend/pentium/PentiumF |  505 | main function not found, falling back to entry point
Msg   | src/boomerang/core/Project.cpp          |  308 | Decoding anything undecoded...
Msg   | src/boomerang/frontend/DefaultFrontEnd. |  156 | Looking for undecoded procedures to decode...
Msg   | src/boomerang/core/Project.cpp          |  184 | Found 1 procs
Msg   | src/boomerang-cli/CommandlineDriver.cpp |  450 | Decompiling...
Msg   | src/boomerang/decomp/ProgDecompiler.cpp |   38 | Decompiling entry point '_start'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp |   94 | Visiting procedure '_start'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp |  205 | Decompiling procedure '_start'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp |  242 | Finished decompile of '_start'
Msg   | src/boomerang/decomp/ProgDecompiler.cpp |   98 | Performing global type analysis...
Msg   | src/boomerang/decomp/ProgDecompiler.cpp |  191 | Removing unused returns...
Msg   | src/boomerang/decomp/ProgDecompiler.cpp |   98 | Performing global type analysis...
Msg   | src/boomerang/decomp/ProgDecompiler.cpp |  198 | Transforming from SSA form...
Msg   | src/boomerang/decomp/ProgDecompiler.cpp |  127 | Removing unused global variables...
Msg   | src/boomerang/decomp/ProgDecompiler.cpp |   92 | Decompilation finished.
Msg   | src/boomerang/core/Project.cpp          |  227 | Generating code...
Msg   | src/boomerang-cli/CommandlineDriver.cpp |  460 | Output written to '_output'
Msg   | src/boomerang-cli/CommandlineDriver.cpp |  468 | Completed in some time
