Level | File                                    | Message
====================================================================================================
Msg   | src/boomerang/util/log/Log.cpp          | This is Boomerang v0.3.99-alpha-1914-ged7a3e1
Msg   | src/boomerang/util/log/Log.cpp          | Log initialized.
Msg   | src/boomerang/core/Project.cpp          | Loading plugins...
Msg   | src/boomerang/core/Project.cpp          | Loaded plugins:
Msg   | src/boomerang/core/Project.cpp          |   DOS4GW loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   ELF32 loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   DOS Exe loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   HP SOM loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   Mach-O executable loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   Palm OS executable loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   Win32 PE loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          | Loading binary file 'from_decompile-it.com/cat/ia32_elf_from_website/subject.exe'
Warn  | src/boomerang-loaders/elf/ElfBinaryLoad | Unhandled x86 relocation type 5
Warn  | src/boomerang-loaders/elf/ElfBinaryLoad | Unhandled x86 relocation type 5
Warn  | src/boomerang-loaders/elf/ElfBinaryLoad | Unhandled x86 relocation type 5
Msg   | src/boomerang/ssl/RTLInstDict.cpp       | Loading machine specifications from 'BOOMERANGSRCDIR/build/out/share/boomerang/ssl/pentium.ssl'...
Msg   | src/boomerang/db/Prog.cpp               | Reading library signatures...
Msg   | src/boomerang/core/Project.cpp          | Decoding entry point...
Msg   | src/boomerang/frontend/DefaultFrontEnd. | Starting decode at address 0x08049671
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function '__errno_location', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function 'error', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function 'open64', please update signatures!
Msg   | src/boomerang/core/Project.cpp          | Decoding anything undecoded...
Msg   | src/boomerang/frontend/DefaultFrontEnd. | Looking for undecoded procedures to decode...
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function '__fxstat64', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function '__signbitl', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function '__ctype_get_mb_cur_max', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function '__ctype_b_loc', please update signatures!
Msg   | src/boomerang/core/Project.cpp          | Found 37 procs
Msg   | src/boomerang-cli/CommandlineDriver.cpp | Decompiling...
Msg   | src/boomerang/decomp/ProgDecompiler.cpp | Decompiling entry point 'main'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Visiting procedure 'main'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Visiting procedure 'atexit'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Visiting procedure '__i686.get_pc_thunk.bx'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Decompiling procedure '__i686.get_pc_thunk.bx'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Finished decompile of '__i686.get_pc_thunk.bx'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Decompiling procedure 'atexit'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Finished decompile of 'atexit'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Visiting procedure 'usage'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Visiting procedure 'emit_bug_reporting_address'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Decompiling procedure 'emit_bug_reporting_address'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Finished decompile of 'emit_bug_reporting_address'
